GrPetYear,pe,pb,peg,shr,revenue,opInm,eps,Assets,Equity,bvps,ROtA,5ROtA,10ROtA,bad5y,bad10y,Industrial,cur,old
CUDA,0.0,0.0,0.0,2.81,16.35,37.98,14.66,10.36,,,,,-4.79,,2.0,,USD,2011
CUF-UN.TO,-10.98,0.86,-0.27,4.3,1.73,,,0.87,-0.91,-0.88,,-1.22,0.36,3.0,4.0,,CAD,2012
CUI,0.0,0.0,,74.75,-56.36,-42.6,-78.37,-48.47,-46.64,-26.69,,-20.99,-14.43,1.0,4.0,,USD,2010
CULT.MI,23.13,4.51,0.32,-0.06,33.63,112.08,174.84,26.03,26.0,26.02,,6.52,5.38,1.0,2.0,,EUR,2016
CUNB,0.0,0.0,0.0,20.19,28.75,123.91,66.22,24.42,28.09,23.37,,,0.72,,0.0,,USD,2012
CUO,0.0,0.0,,0.75,-0.1,,47.22,7.02,-4.0,-3.97,,-13.62,-3.92,2.0,3.0,,USD,2010
CURK.DE,-0.15,0.11,-0.0,-100.0,5.2,1.11,-100.0,-5.15,-8.78,-8.78,,-82.98,-38.61,2.0,6.0,,EUR,2010
CUR.LS,0.0,0.0,,0.0,4.46,52.0,24.64,19.5,6.89,6.89,,,,,,,USD,2001
CURR,-0.38,-44.95,-0.01,11.61,59.3,56.01,36.51,55.27,,,,-403.88,-300.77,4.0,6.0,PHARMACEUTICAL PREPARATIONS,USD,2014
CUSI,5567.33,9.88,-55.95,3.09,17.35,-33.9,,20.62,27.12,26.31,,,,,,,USD,1999
CVA,-95.51,8.63,0.25,-0.81,1.6,-10.91,,-1.85,-12.98,-13.08,,1.37,0.89,2.0,5.0,COGENERATION SERVICES & SMALL POWER PRODUCERS,USD,2011
CVC,0.0,0.0,0.0,-0.28,1.05,0.21,,2.08,-0.92,-0.93,,,3.22,,0.0,,USD,2006
CVET,-489.77,1.95,3.44,3.54,7.42,,,11.88,6.97,6.73,,-15.83,6.96,1.0,3.0,RETAIL-DRUG STORES AND PROPRIETARY STORES,USD,2015
CVF.AX,0.0,0.0,,7.86,-100.0,-100.0,-100.0,2.55,3.16,2.93,,2.79,3.1,2.0,4.0,,AUD,2014
CVG,0.0,0.0,0.0,-2.53,0.03,,,-1.79,2.03,2.08,,,10.74,,0.0,,USD,2008
CVG.MI,57.52,2.33,-0.87,0.6,9.87,-17.95,7.92,38.74,64.16,63.78,,3.98,3.98,1.0,1.0,,EUR,2018
CVIA,0.0,0.0,,0.1,2.02,,105.28,9.98,-45.17,-45.12,,-32.01,8.83,1.0,3.0,,USD,2015
CVIAQ,0.0,0.0,,0.1,2.02,,105.28,9.98,-45.17,-45.12,,-32.01,8.83,1.0,3.0,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)",USD,2015
CVLB,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-475.34,-475.34,1.0,1.0,SERVICES,USD,2020
CVLBD,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-113.23,-113.23,1.0,1.0,,USD,2019
CVON,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,456074.41,21726.44,21726.44,,,-0.09,,1.0,,USD,2017
CVRR,0.0,0.0,0.0,0.0,8.56,1.99,-13.29,0.06,-100.0,-100.0,,,11.35,,2.0,,USD,2009
CVTI,0.0,0.0,,2.82,3.62,-26.13,8.07,8.24,14.85,14.44,,3.56,4.17,1.0,2.0,,USD,2010
CVUA,5.91,3.56,0.01,4.99,1.64,-8.01,-9.89,-7.87,-28.77,-27.4,,,,,,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",USD,2012
CWAY,0.0,0.0,0.0,-3.33,8.15,33.08,21.26,14.79,18.23,18.86,,,0.2,,2.0,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",USD,2011
CWD.L,0.0,0.0,,21.1,0.56,,-2.28,-5.7,-10.17,-8.4,,-91.52,-31.69,1.0,3.0,,GBP,2010
CWENA,0.0,0.0,,2.6,22.0,9.78,,26.99,14.37,14.01,,0.26,0.98,1.0,3.0,,USD,2013
CWLDY,-37.43,2.19,0.06,-0.92,-6.45,,,2.13,3.16,3.19,,2.95,8.54,2.0,2.0,,AUD,2012
CWL.TO,-5.49,0.9,-0.15,4.03,15.51,26.55,14.09,17.68,9.9,9.52,,4.8,4.26,1.0,2.0,,CAD,2012
CWN.AX,0.0,0.0,,-0.92,-6.45,,,2.13,3.16,3.19,,2.95,8.54,2.0,2.0,,AUD,2012
CWNR,0.0,0.0,,4312.06,-100.0,-100.0,-100.0,-84.61,,,,50.0,50.0,1.0,1.0,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES),USD,2000
CWRK,-4.04,1.52,0.01,23.43,51.63,128.63,85.28,-20.44,-19.75,-16.0,,-953080.07,-423754.2,2.0,2.0,SERVICES,USD,2012
CWSS,0.0,0.0,,107.49,-100.0,9.43,-47.56,80.8,27.04,13.03,,1532.17,-512028.96,1.0,2.0,METAL MINING,USD,2010
CWX.TO,0.0,0.0,,11.0,9.85,29.86,,15.49,11.93,10.75,,5.67,6.34,1.0,1.0,,CAD,2011
CWZ.AX,0.0,0.0,,17.05,-3.54,-100.0,9.87,6.76,2.08,1.78,,-127.95,-59.74,4.0,4.0,,AUD,2012
CXDC,-0.0,0.0,0.0,4.1,14.71,,,26.18,17.93,17.22,,-1.2,3.66,1.0,3.0,PLASTICS FOAM PRODUCTS,USD,2011
CXN.TO,-1.26,0.36,0.0,0.49,-100.0,-100.0,29.63,12.65,14.72,14.65,,-28.31,-6.19,3.0,6.0,,AUD,2012
CXO,0.0,0.0,,9.92,26.73,64.43,45.7,25.64,33.33,30.32,,3.21,1.06,1.0,3.0,CRUDE PETROLEUM & NATURAL GAS,USD,2009
CXP,19.0,0.84,0.02,-1.5,-7.62,-11.55,10.18,-3.77,-3.09,-3.13,,1.11,1.57,2.0,3.0,REAL ESTATE INVESTMENT TRUSTS,USD,2011
CXUS,-0.0,-0.0,-0.0,99.11,-100.0,-47.85,-70.94,-100.0,,,,50.89,-228.68,1.0,1.0,SERVICES,USD,2007
CY,0.0,0.0,,8.06,10.78,3.83,-13.69,12.18,12.91,11.94,,11.21,-8.29,1.0,4.0,,USD,2010
CYAND,0.0,0.0,,0.95,7.51,,,10.41,5.61,5.56,,-4.34,-1.85,1.0,3.0,,USD,2010
CYBA.L,-0.18,0.19,,-100.0,-100.0,-100.0,-100.0,175.32,263.46,263.46,,-88.41,-88.41,1.0,1.0,,GBP,2021
CYBE,50.1,4.59,0.43,0.91,9.31,,,6.93,5.84,5.79,,6.4,2.85,1.0,4.0,OPTICAL INSTRUMENTS & LENSES,USD,2012
CYFL,16.08,1.93,2.09,-12.6,29.04,,13.69,-12.92,-3.63,-4.15,,,,,,,USD,1994
CYHHZ,0.0,0.0,,2.77,0.19,-5.82,,5.89,,,,-6.48,-5.85,2.0,4.0,,USD,2010
CYNO,0.0,0.0,0.0,8.0,20.93,,,16.37,15.88,14.71,,,4.3,,1.0,,USD,2007
CYOU,0.0,0.0,,0.13,3.74,-2.01,-2.26,16.95,0.83,0.83,,6.57,9.13,0.0,1.0,,,2010
CYP.V,-83.56,2.76,0.84,25.95,-100.0,,-29.15,32.31,31.88,25.31,,-25.42,-42.39,2.0,7.0,,CAD,2012
CYRN,-0.05,0.22,0.01,13.43,3.0,,,-2.72,-9.72,-8.57,,-71.45,-54.8,4.0,8.0,SERVICES-PREPACKAGED SOFTWARE,USD,2012
CYRXW,0.0,0.0,,-63.3,127.61,18.91,222.99,138.63,,,,-15.81,-130.55,2.0,2.0,,USD,2013
CYS,0.0,0.0,0.0,40.51,23.09,32.35,,38.47,36.02,25.63,,,-0.02,,2.0,REAL ESTATE INVESTMENT TRUSTS,USD,2008
CYS.L,0.0,0.0,,-0.83,-100.0,-4.88,-1.77,-3.26,-3.23,-3.26,,1.22,3.5,0.0,5.0,,GBP,2010
CYXTW,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.05,-0.05,1.0,1.0,,USD,2020
CZBS,42.13,1.52,-30.75,0.71,-1.52,-3.12,-7.41,1.66,5.87,5.83,,,0.42,,0.0,,USD,2006
CZBT,20.98,1.6,2.19,-0.56,3.49,-100.0,3.63,2.52,3.38,3.4,,,,,,,USD,2003
CZFC,0.0,0.0,,-1.8,10.0,,,52.79,3.45,3.51,,1.01,0.82,0.0,0.0,,USD,2009
CZI.AX,0.0,0.0,,41.86,-100.0,-100.0,-100.0,30.11,21.73,15.32,,-6.7,-21.22,2.0,6.0,,AUD,2011
CZNI,-0.05,-3.51,-0.0,89.13,-100.0,-19.03,-52.61,-2.82,-16.63,-8.79,,,,,,"MOTORCYCLES, BICYCLES & PARTS",USD,2012
CZNL,12.18,1.55,0.48,-36.3,-100.0,52.45,38.27,5.18,7.99,12.54,,,,,,,USD,1992
CZT.WA,-2.31,0.33,-0.0,4.93,-12.17,-2.46,-6.46,-9.29,-13.41,-12.78,,-4.85,-15.03,2.0,6.0,,PLN,2012
CZZ,0.0,0.0,,-0.5,14.99,,,20.19,4.3,4.32,,2.58,1.6,0.0,0.0,SUGAR & CONFECTIONERY PRODUCTS,BRL,2009
D13.AX,-105060835.14,335460060.01,-93496761.95,80.71,-100.0,64.13,-9.36,24.0,-1.51,-0.84,,-236.53,-208.89,1.0,4.0,,AUD,2012
DAI.DE,6.79,1.04,0.01,0.03,1.77,14.98,6.81,5.32,5.65,5.65,,2.35,3.3,1.0,2.0,,EUR,2012
DALALSTCOM.NS,-2.42,-4.83,0.0,0.0,-100.0,35.24,37.29,-26.61,,,,-345.34,-155.88,1.0,1.0,,INR,2012
DAOO,125.48,-7.54,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-70.67,-70.67,1.0,1.0,BLANK CHECKS,USD,2021
DAOOU,181.66,1.03,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.07,-0.07,1.0,1.0,BLANK CHECKS,USD,2021
DAOOW,0.04,-0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.07,-0.07,1.0,1.0,BLANK CHECKS,USD,2021
DATA,0.0,0.0,,6.94,37.81,,,35.73,32.88,30.75,,-4.84,-5.88,1.0,4.0,,USD,2013
DAT.L,0.0,0.0,,2.08,3.24,,,0.98,4.59,4.5,,-0.54,0.02,1.0,2.0,,CNY,2012
DAU.AX,0.0,0.0,,14.02,-100.0,-12.21,-22.05,-18.2,-18.42,-16.15,,-66.7,-40.51,3.0,7.0,,AUD,2011
DAV.AX,0.0,0.0,,43.78,-100.0,-100.0,-100.0,-12.01,-10.92,-7.59,,-43.45,-37.4,3.0,4.0,,AUD,2016
DBCP,0.0,0.0,,0.38,7.25,-100.0,29.9,10.66,13.89,13.83,,0.65,0.42,0.0,1.0,,USD,2010
DBDR,-1744.35,1.26,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-69.59,-69.59,1.0,1.0,BLANK CHECKS,USD,2020
DBDRU,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.07,-0.07,1.0,1.0,BLANK CHECKS,USD,2020
DBDRW,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-69590.57,-69590.57,1.0,1.0,BLANK CHECKS,USD,2020
DC6C.DE,9.4,0.97,-0.63,-1.49,11.75,0.08,7.37,11.5,7.03,7.14,,13.7,18.05,0.0,2.0,,USD,2012
DC6.DE,10.33,1.07,-0.29,-1.49,11.75,0.08,7.37,11.5,7.03,7.14,,13.7,18.05,0.0,2.0,,USD,2012
DCAC,-0.23,-0.04,-0.0,475.67,50.01,-9.12,,29.98,13.29,2.31,,-114.3,1041449.0,2.0,8.0,SERVICES-MANAGEMENT CONSULTING SERVICES,USD,2012
DCAR,0.0,0.0,,90.74,-100.0,,,-26.42,-28.55,-14.97,,-106.61,-53.01,1.0,5.0,,USD,2009
DCD.L,541.88,87.15,,51.9,-11.03,,,-8.86,-12.61,-8.3,,1.82,-9.7,1.0,3.0,,GBP,2010
DCGOW,9212087.45,787703.2,,-100.0,156.88,,-100.0,75.11,79.07,79.07,,-11.53,-11.53,2.0,2.0,,USD,2019
DCI.NS,27.37,7.38,0.36,10.74,27.07,46.47,36.17,22.9,15.64,14.13,,,,,,,INR,2017
DCIX,0.0,0.0,,199.44,18.7,39.82,-54.55,2.42,1.21,0.4,,-39.74,-22.31,2.0,4.0,,USD,2010
DC.L,0.0,66.96,0.0,10.85,131.11,-4.06,-100.0,27.21,13.56,12.23,,-1.68,1.7,2.0,3.0,,GBP,2010
DCRB,-53.42,58.51,0.02,0.0,-100.0,10790.74,10882.94,1960.18,1389.46,1389.46,,-22.19,-22.19,1.0,1.0,ELECTRICAL INDUSTRIAL APPARATUS,USD,2018
DCRBU,0.0,0.0,,-100.0,-100.0,1185982.03,-100.0,84587.97,22084.77,22084.77,,-0.65,-0.65,1.0,1.0,ELECTRICAL INDUSTRIAL APPARATUS,USD,2018
DCRBW,0.0,0.0,,-100.0,-100.0,10790.74,-100.0,1960.18,1389.46,1389.46,,-22.19,-22.19,1.0,1.0,ELECTRICAL INDUSTRIAL APPARATUS,USD,2018
DCRD,22.08,-11.6,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,2.45,2.45,0.0,0.0,BLANK CHECKS,USD,2021
DCRDU,23.38,-12.29,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,2.45,2.45,0.0,0.0,BLANK CHECKS,USD,2021
DCRDW,1.28,0.1,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,2.45,2.45,0.0,0.0,BLANK CHECKS,USD,2021
DCRN,-578929.86,23444.41,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-198657.38,-198657.38,1.0,1.0,BLANK CHECKS,USD,2020
DCRNU,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.2,-0.2,1.0,1.0,BLANK CHECKS,USD,2020
DCRNW,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.2,-0.2,1.0,1.0,BLANK CHECKS,USD,2020
DCUA,0.0,0.0,,0.84,-41.34,-47.59,-100.0,10.34,11.51,11.42,,1.73,2.96,1.0,1.0,,USD,2010
DCUB,0.0,0.0,,0.84,-41.34,-47.59,-100.0,10.34,11.51,11.42,,1.73,2.96,1.0,1.0,,USD,2010
DCUC,0.0,0.0,,0.84,0.97,-8.69,-11.06,10.34,12.27,12.17,,2.45,3.17,0.0,1.0,,USD,2010
DCUE,22.91,2.24,0.17,0.0,0.72,17.84,27.43,8.74,11.12,11.12,,1.84,2.74,1.0,1.0,ELECTRIC SERVICES,USD,2012
DDDD.L,-70.26,69.22,1.8,14.37,-100.0,48.02,26.84,5.95,-1.86,-1.63,,-102.19,-58.68,4.0,5.0,,GBP,2014
DDDX,-1.15,-0.36,-0.07,40.98,-100.0,,72.85,216.13,213.54,151.46,,,-408.71,,1.0,,USD,2008
DDMX,129.57,1.2,,-100.0,-100.0,-100.0,-100.0,121.3,2413.4,2413.4,,,,,,BLANK CHECKS,USD,2019
DEACU,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,0.57,0.57,0.0,0.0,,USD,2019
DEDAL.PA,0.0,0.0,,22.05,10.19,,,16.17,18.86,15.45,,4.46,-0.77,1.0,3.0,,EUR,2010
DEEP.CN,-6.25,11.41,0.16,33.72,-100.0,144.65,82.53,134.25,194.19,145.22,,-166.32,-155.05,2.0,3.0,,CAD,2016
DEEPIND.NS,0.0,0.0,,4.49,-37.44,-35.67,-32.98,10.66,13.6,13.02,,6.01,6.16,1.0,1.0,,INR,2011
DEER,0.0,0.0,0.0,64.74,-100.0,,,1059.51,,,,,,,,,USD,2007
DEH,-3095.68,1.49,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.05,-0.05,1.0,1.0,BLANK CHECKS,USD,2020
DEH-UN,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.05,-0.05,1.0,1.0,BLANK CHECKS,USD,2020
DEH-WT,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.05,-0.05,1.0,1.0,BLANK CHECKS,USD,2020
DEL,0.0,0.0,0.0,-0.27,7.21,9.11,4.72,5.83,1.94,1.94,,,2.68,,2.0,,USD,2008
DELC.CN,-0.19,0.08,-0.01,12.66,-100.0,275.97,430.12,1133.82,,,,-240.91,-240.91,3.0,3.0,,CAD,2018
DEL.WA,4.64,0.87,-0.55,8.01,4.41,,,9.21,15.6,14.44,,8.26,7.42,0.0,0.0,,PLN,2012
DEST,0.0,0.0,,9.7,-4.2,0.75,18.13,-5.33,-12.41,-11.31,,-11.61,-5.13,2.0,3.0,,USD,2008
DE.ST,24.5,1.4,0.1,0.0,-12.73,189.88,254.58,14.1,45.3,45.3,,12.02,12.02,1.0,1.0,,SEK,2019
DEV.L,-65.41,7.71,59.96,35.61,150.62,69.69,32.0,286.49,,,,-94.17,-94.17,2.0,2.0,,GBP,2018
DEX.DE,3.98,0.73,-0.36,1.53,3.35,-12.12,-13.77,3.73,-5.68,-5.6,,-5.17,-0.13,1.0,2.0,,EUR,2012
DF,0.0,0.0,,-8.31,-5.43,,,-15.25,-18.12,-19.76,,-15.43,3.49,1.0,3.0,,USD,2010
DFCOE,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,687.82,687.82,0.0,0.0,,USD,2019
DFHT,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-2.71,-2.71,1.0,1.0,SERVICES,USD,2020
DFHTU,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-2.71,-2.71,1.0,1.0,SERVICES,USD,2020
DFNS+,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.06,-0.06,1.0,1.0,,USD,2019
DFNSU,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-59.0,-59.0,1.0,1.0,,USD,2019
DFNS-WT,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,0.08,0.08,0.0,0.0,,USD,2020
DFODQ,0.0,0.0,,-0.01,-5.44,,,-13.19,,,,-20.13,-0.06,2.0,4.0,DAIRY PRODUCTS,USD,2010
DFPH,-715.57,1.4,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.19,-0.19,1.0,1.0,BLANK CHECKS,USD,2020
DFPHU,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.19,-0.19,1.0,1.0,BLANK CHECKS,USD,2020
DFPHW,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.19,-0.19,1.0,1.0,,USD,2020
DFRG,0.0,0.0,,3.7,8.45,,,18.79,3.09,2.98,,-21.0,0.41,1.0,2.0,,USD,2012
DFT,0.0,0.0,0.0,8.52,39.83,,,84.95,6.31,5.81,,,2.7,,1.0,,USD,2007
DGAS,0.0,0.0,0.0,8.97,-56.06,-55.37,-58.4,-59.49,-52.1,-47.81,,,13.22,,0.0,,USD,2008
DGDM,0.0,0.0,,4.87,-66.61,-52.37,-100.0,-6.31,,,,-5031.33,-3066.88,2.0,3.0,MISCELLANEOUS MANUFACTURING INDUSTRIES,USD,2011
DGI,0.0,0.0,0.0,5.16,14.51,2.31,-12.42,15.91,13.65,12.98,,,0.07,,1.0,,USD,2009
DGM.PA,-3.5,1.14,0.06,13.73,4.72,11.85,-5.2,9.01,7.61,6.69,,-18.03,-9.77,3.0,5.0,,EUR,2011
DGNR-UN,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.15,-0.15,1.0,1.0,SERVICES,USD,2020
DGNR-WT,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.15,-0.15,1.0,1.0,SERVICES,USD,2020
DGNS,-3677.94,1.34,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.04,-0.04,1.0,1.0,BLANK CHECKS,USD,2020
DGNU,99.6,1.3,,-100.0,-100.0,-100.0,-100.0,656197.92,2049593.29,2049593.29,,2.21,2.21,0.0,0.0,BLANK CHECKS,USD,2021
DGO.AX,0.0,0.0,,33.74,-100.0,25.06,,25.97,26.87,20.09,,-17.08,-51.8,2.0,5.0,,AUD,2012
DGOC.L,0.0,0.0,,30.71,86.7,107.85,-4.74,86.3,,,,5.61,0.95,1.0,4.0,,USD,2013
DGSE,0.0,0.0,,17.15,-100.0,-100.0,-100.0,-100.0,-100.0,-85.36,,5.05,14.78,0.0,3.0,,USD,2011
DHBC,0.0,-5.78,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,405688421.07,405688421.07,0.0,0.0,BLANK CHECKS,USD,2021
DHBCU,0.0,-5.77,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,405688421.07,405688421.07,0.0,0.0,BLANK CHECKS,USD,2021
DHBCW,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,405688421.07,405688421.07,0.0,0.0,BLANK CHECKS,USD,2021
DHFL.NS,-0.03,-0.03,0.0,4.36,,-100.0,,10.89,,,,-9.24,-3.25,2.0,2.0,,INR,2012
DHR.AX,0.0,0.0,,44.31,-100.0,26.42,-12.19,-11.48,-15.11,-10.47,,-122.46,-86.59,1.0,4.0,,AUD,2011
DHRM,0.0,0.0,0.0,3.7,8.45,,,18.79,3.09,2.98,,-21.0,0.41,1.0,2.0,,USD,2012
DHR-PA,26.68,3.75,-0.34,0.0,5.46,10.73,11.45,10.84,10.09,10.09,,21.97,23.36,1.0,1.0,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",USD,2012
DIDI,-0.88,0.39,0.0,-14.15,8.71,57.81,70.81,2.32,-4.53,-5.28,,-22.07,-22.07,4.0,4.0,,CNY,2018
DIGAF,0.0,-0.0,0.0,-100.0,-100.0,9.4,-100.0,8.16,6.02,6.02,,-593.27,-558.47,2.0,4.0,"WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES",CAD,2012
DIG.MI,54.75,6.09,10.1,4.24,22.99,43.64,60.14,28.63,34.19,32.8,,2.04,1.63,2.0,3.0,,EUR,2016
DIG.PA,0.0,0.0,,0.0,3.07,,-25.09,-1.24,-11.93,-11.93,,-4.97,-6.08,1.0,3.0,,EUR,2010
DIGS.L,842.78,108.96,6.71,29.77,42.0,-100.0,13.33,33.68,34.26,26.4,,7.79,6.93,0.0,1.0,,GBP,2014
DILA,-348.94,876.06,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,0.0,0.0,0.0,0.0,BLANK CHECKS,USD,2021
DILAU,-281.56,1.05,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.96,-0.96,1.0,1.0,BLANK CHECKS,USD,2021
DILAW,-0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-0.93,-0.93,1.0,1.0,BLANK CHECKS,USD,2021
DISCA,10.27,1.06,-0.69,-1.49,11.75,0.12,7.37,11.5,7.03,7.14,,13.7,18.05,0.0,2.0,CABLE & OTHER PAY TELEVISION SERVICES,USD,2012
DISCB,10.27,1.06,-0.69,-1.49,11.75,0.12,7.37,11.5,7.03,7.14,,13.7,18.05,0.0,2.0,CABLE & OTHER PAY TELEVISION SERVICES,USD,2012
DISCK,10.26,1.06,-0.69,-1.49,11.75,0.12,7.37,11.5,7.03,7.14,,13.7,18.05,0.0,2.0,CABLE & OTHER PAY TELEVISION SERVICES,USD,2012
DIS.DE,-45.3,0.59,0.01,0.0,4.26,-5.42,,1.99,1.94,1.94,,1.02,2.15,2.0,2.0,,EUR,2011
DISH.L,-31.83,539.06,-0.7,13.33,-100.0,-14.92,-32.06,13.93,,,,-221.96,-221.96,3.0,3.0,,GBP,2018
DISHR,0.0,0.0,,2.09,0.15,-0.36,3.14,14.75,,,,4.68,4.72,0.0,0.0,,USD,2010
DKMR,-0.0,0.0,-0.0,31.62,-100.0,90.36,44.92,59.5,58.38,44.36,,-5132.8,-1884.64,1.0,1.0,METAL MINING,USD,2011
DKNGW,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,0.57,0.57,0.0,0.0,,USD,2019
DKNGZ,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,0.36,0.36,0.0,0.0,,USD,2019
DL,0.0,0.0,,0.14,19.69,,,17.41,0.78,0.78,,5.85,11.66,0.0,2.0,SERVICES,USD,2011
DLCA,0.02,-23.84,,-100.0,-100.0,-100.0,-100.0,-45.04,-81.1,-81.1,,3819307.03,3819307.03,0.0,0.0,BLANK CHECKS,USD,2021
DLCAU,9.66,1.05,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,4.45,4.45,0.0,0.0,BLANK CHECKS,USD,2021
DLCAW,0.0,-0.0,,-100.0,-100.0,-100.0,-100.0,-45.04,-81.1,-81.1,,3819307.03,3819307.03,0.0,0.0,BLANK CHECKS,USD,2021
DLCR,0.16,-0.01,0.0,46.21,36.36,,,-7.95,10.66,7.29,,-8.73,-452.82,1.0,4.0,MINING & QUARRYING OF  NONMETALLIC MINERALS (NO FUELS),USD,2015
DLG.DE,62.93,3.21,-0.8,0.84,11.25,10.89,3.14,22.38,22.67,22.48,,14.35,17.57,0.0,1.0,,USD,2011
DLPH,0.0,0.0,,-0.7,-5.17,-36.26,-75.41,-0.61,115.23,116.04,,4.92,5.84,1.0,1.0,,USD,2017
DLRCP,0.0,0.0,,9.71,15.68,10.48,9.96,17.68,19.67,17.93,,2.67,2.81,0.0,0.0,,USD,2010
DLR-PC,0.0,0.0,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,17.28,17.28,0.0,0.0,REAL ESTATE INVESTMENT TRUSTS,USD,2020
DLTA.PA,23.03,4.23,2.98,0.08,7.63,19.52,18.3,10.55,11.5,11.49,,12.53,11.19,0.0,0.0,,EUR,2011
DLTI,-0.02,0.37,-0.0,-100.0,59.73,46.44,-100.0,-100.0,,,,-810.19,-768.4,1.0,4.0,SERVICES-PERSONAL SERVICES,USD,2012
DLT.PA,-3.21,0.37,0.02,1.24,9.68,,,9.97,6.81,6.72,,0.98,1.18,1.0,3.0,,EUR,2010
DMGT.L,39.88,19.95,0.06,-5.9,-7.27,,29.26,6.06,38.85,41.29,,23.73,22.64,2.0,1.0,,GBP,2012
DMKBA,32.72,1.96,-1.57,-1.26,4.38,-100.0,3.1,5.19,2.55,2.58,,0.77,0.75,0.0,0.0,,USD,2007
DMLRY,5.18,0.68,0.01,0.03,1.77,14.08,6.8,5.32,5.65,5.65,,2.35,3.3,1.0,2.0,MOTOR VEHICLES & PASSENGER CAR BODIES,EUR,2012
DMND,0.0,0.0,0.0,9.05,8.68,25.16,8.95,23.29,11.92,10.93,,,-25.75,,2.0,,USD,2007
DMPI,0.0,0.0,,-100.0,-100.0,98.99,-100.0,101.77,49.24,49.24,,-222.46,-148.4,3.0,7.0,,USD,2011
DMS+,-19.36,0.13,0.13,-18.35,-100.0,2378.94,1381.69,2207.52,10887.94,13334.95,,0.32,-0.54,1.0,2.0,,USD,2017
